priority_score,research_priority,token_label,token_address,first_buy_time_utc,first_buy_bucket,realized_pnl_bnb,narrative_tag,source_type_guess,source_status,source_score,time_advantage_score,onchain_score,risk_penalty,next_research_step
48,105,安小将,0x44449ba264dffdcf903128c6800d9e4d3998adaf,2026-04-15 09:14:08,0-50k,15.101998870350126,unmapped_chinese_meme,meme/community,待追踪,8,17,16,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,105,冲鸭,0x7528f0abcb9e4fd65859c92255aa889d02094444,2026-05-01 09:58:44,0-50k,6.136026256580706,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
49,105,马维斯,0x13762a21d45d102078269b0b0ac9a954104e4444,2026-05-17 05:15:55,0-50k,4.782587136726304,unmapped_chinese_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,105,牛回！,0x5177b93950833dd74569091fad3bfb3a1ab04444,2026-05-11 07:28:47,0-50k,4.3910923394364065,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
65,105,BAP,0x66f10363aa46e27215b7669898efc67a462f4444,2026-03-23 08:41:40,0-50k,2.9937084573471062,binance+ai_agent,company/project/category,待追踪,25,17,16,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
22,105,chovy,0xa5cad5e0352cc658d730356b684f519d635e4444,2026-05-04 01:54:40,0-50k,2.985927756818896,unknown,unknown,待追踪,0,14,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,105,QClaw,0x9eae0c56c5eb40d5b47c6c197573bc39adad4444,2026-03-08 14:26:30,0-50k,2.7304376373410424,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
25,105,ONOP,0xec77f3bfe27f9ccac5a1ae502846b684ff4f4444,2026-04-07 08:07:50,0-50k,2.6436240883615936,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
49,105,马上有钱,0x49769e06a8fdc9df45de40927bb89fae6ccd4444,2026-02-11 06:46:07,0-50k,2.613722531743628,unmapped_chinese_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,105,幣安人生,0x6ce931ccb9484c00e7cbc7df0cce7c3d103b4444,2026-04-03 03:49:41,0-50k,2.497502238860372,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
48,105,金铲铲贵族,0x444497c85e6f7f7aa2d098c964da79e21dcfecab,2026-04-16 09:39:05,0-50k,2.3066966121644525,unmapped_chinese_meme,meme/community,待追踪,8,17,16,-5,补 Douyin/B站/微博首发、热榜和音频复用量
21,105,wood,0xe2b296db9c0c0854ed69f47eff434b54a7454444,2026-05-07 15:33:12,0-50k,2.254900356288413,unknown,unknown,待追踪,0,17,16,-17,用 token 名称、部署时间和早期传播账号做源头检索
25,105,KANDURA,0xe0769afa470e416f58c7792870c7e3b01b374444,2026-04-13 14:08:04,0-50k,2.1942966763205973,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
16,105,Martian,0x5ea9176e9196c8968f9cc440cd148bcf07e74444,2026-04-19 11:00:23,0-50k,2.1531009953378915,unknown,unknown,待追踪,0,17,11,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,105,币圈一姐,0xada9108d2148604119b7861df7af0c3c83364444,2026-05-16 08:03:19,0-50k,2.1245483550655075,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
22,105,ASTEROID,0x0234849d5e5b2e630b19e2e1c96b78058c274444,2026-04-17 03:52:02,0-50k,2.06028111253305,unknown,unknown,待追踪,0,14,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,105,谎话精,0x1eede6b205290d58a05722dccf31f3227f794444,2026-04-09 16:49:45,0-50k,1.8633969473595624,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
25,105,freedom of money,0xdfeff045b40a08c50b4d99b2739735706bd84444,2026-02-28 03:47:37,0-50k,1.845890853762299,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,105,慈善家,0xc75110b5959b61d7f4de0d425ce2d8377b924444,2026-03-13 07:00:29,0-50k,1.7569361955194414,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
44,105,唐子兵法,0x93e4452af265d1dd2c3ed37e4eea7f996c744444,2026-03-17 02:20:12,0-50k,1.7403012566124751,unmapped_chinese_meme,meme/community,待追踪,8,14,15,-5,补 Douyin/B站/微博首发、热榜和音频复用量
25,105,Dinance,0xa8913d9b17389cbb67955e5b6d6dc4930cfb4444,2026-05-07 08:19:02,0-50k,1.7031424484621336,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,105,致加密社区的一封公开信,0x614d6d3c765d66cb929469443eb626556e734444,2026-01-30 04:17:05,0-50k,1.4347309955719123,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,105,华山论剑,0xeee5c3876bb10a2d5752b28c10c0d307edfd4444,2026-03-08 05:02:50,0-50k,1.3496696849562655,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
45,105,愚人小何,0x350b17da692d5ecd49bb751deaf5baf0ad604444,2026-04-01 07:21:05,0-50k,1.3343534219204567,ai_agent,category,待追踪,8,14,16,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
22,105,SPCX,0x6f55eebc1a7871bac89fd203a206c2b0f6634444,2026-04-15 11:09:56,0-50k,1.3130285062809277,unknown,unknown,待追踪,0,14,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
25,105,ClawHouse,0x77e41a64b056b2de34cddeb087a4162145c74444,2026-03-09 04:34:19,0-50k,1.2937561281690309,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
17,105,Claymation,0x55a343ee1ce56f089703bf99900a5f69f36e4444,2026-03-21 00:56:34,0-50k,1.2902468546281078,unknown,unknown,待追踪,0,14,15,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,105,东͏莞͏崇͏英͏学校,0x2e2c15a5b16012d89e3cdcaa5f4e6c8d8f2a4444,2026-03-19 04:08:49,0-50k,1.2893362595225493,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
17,105,7,0xc3328bdd2d71fac87df2599cfed8e85931314444,2026-04-10 04:27:18,0-50k,1.247534342477216,unknown,unknown,待追踪,0,14,15,-17,用 token 名称、部署时间和早期传播账号做源头检索
60,105,Binance AI Pro,0x66e70721537e1cf2bcb290cb840c499dd62d4444,2026-03-25 07:45:53,0-50k,1.2079561112732404,binance+ai_agent,company/project/category,待追踪,25,17,11,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
25,105,NICE,0x1ed252c4374d2fcfcec98831bc09533c18de4444,2026-04-14 03:00:04,0-50k,1.1803449523945766,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
69,105,COCO,0xb2df7b3df369be8d4d6b5a86425d72b90e3e4444,2026-03-14 09:47:54,0-50k,1.1542182622010628,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,105,热点雷达,0x697077192abd1d789c52b6425b3333bb216a4444,2026-02-12 08:11:13,0-50k,1.1503328853738883,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
49,105,马尔福,0x489632f7340f97bd117c0d3b1f230a8b6a314444,2026-02-04 09:58:18,0-50k,1.137943342110174,unmapped_chinese_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
49,105,ong咪,0x4106eeaa36217a412a0c136f62a9bac6a6664444,2026-01-27 08:44:22,0-50k,1.066764257863795,unmapped_chinese_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,105,尖叫鸡,0x1d8fbc1ff8755d5df67357d487a2e0f035ec4444,2026-01-30 10:35:45,0-50k,1.0444083084459543,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,105,一纸人生，半生自由,0xb9c78706ce79525058e43f76fcd1ac5cef234444,2026-04-10 04:10:16,0-50k,1.042208642766634,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
66,105,BIBIClaw,0xa818853a06040a6ba9fb98ab34bbf56fe8444444,2026-03-16 06:27:24,0-50k,1.0305115462750474,binance+ai_agent,company/project/category,待追踪,25,14,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
66,105,MARTIAN,0x4444e2614121dc92c3963c0dea45c1024a8e4a3d,2026-04-19 11:00:50,0-50k,1.0256834468520153,binance+ai_agent,company/project/category,待追踪,25,14,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,105,红包女侠,0x36b012c02979a8da06f942889c651ef8b8564444,2026-02-14 08:25:09,0-50k,1.024665088593823,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
44,100,AGENT,0x8004fc7b58399586ca6793ba6629849a78c96af2,2026-03-01 16:30:37,0-50k,0.99657186219752,ai_agent,category,待追踪,8,14,15,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
69,100,币安AI,0x4c938dc2aac0136f0adad3307e929ff94d564444,2026-03-15 12:36:19,0-50k,0.939078111988794,binance+ai_agent,company/project/category,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,100,7,0x32b1fa9d307a19c119ab20219ba409f927334444,2026-03-16 12:48:46,0-50k,0.9001201876662105,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
61,100,CZ,0xfecb0d1585223d3a7812913eb882862d47b44444,2026-03-18 04:33:31,0-50k,0.8928657878704804,binance+founder_person,company/project/person,待追踪,25,14,15,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,100,币安AI短剧比赛,0x8152871b4d3d3399d9c00800ea238ecda1264444,2026-02-09 09:27:43,0-50k,0.8676025061733769,binance+ai_agent,company/project/category,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
37,100,金狗,0x1f7d530e1c985881308b6aa5c7c41978a0834444,2026-04-17 14:25:00,0-50k,0.8589288472620572,pure_meme,meme,待追踪,0,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
47,100,FFAI,0xea40fb19cccb852e2e9095904647773fa4614444,2026-03-22 06:15:18,0-50k,0.8436934046776411,ai_agent,category,待追踪,8,17,15,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
52,100,FOURAGENT,0x44448544e30f01e2309e96ceb31a73146ccd995f,2026-03-04 06:44:42,0-50k,0.8355242330227448,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
32,100,YI PEPE,0x615e3bf691178705ff1f9c3822b802aa45c04444,2026-03-05 03:10:38,0-50k,0.8255269208987976,pure_meme,meme,待追踪,0,17,15,-5,补 Douyin/B站/微博首发、热榜和音频复用量
66,100,SuperIntern,0x07375dd96aac45cb5e48c5b0cc3844a3067d4444,2026-03-05 02:11:45,0-50k,0.7374829149470303,binance+ai_agent,company/project/category,待追踪,25,14,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,100,歪鼻巴卜,0xa408dca4afcee949abf0643671cd8e1359674444,2026-03-31 03:23:30,0-50k,0.6953281579540381,chinese_social_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
69,100,卡卡,0x94d76e03c312cfd895160bfb07e548914f154444,2026-03-30 02:14:31,0-50k,0.5814902717247722,binance+founder_person,company/project/person,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,100,贾维斯,0x02a2351059234f2783b800358eff8c2cc53b4444,2026-03-15 05:09:39,0-50k,0.5648876450384844,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
49,100,Agentic Mode,0xb03745cbbe3af8eb0d29b9854f71cf78e5534444,2026-03-01 07:46:06,0-50k,0.5616394552230987,ai_agent,category,待追踪,8,14,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
52,100,我以后不赌了,0x3ef726885e017baa8c42ef6f6f17915418084444,2026-05-27 04:51:47,0-50k,0.5412463646943062,chinese_social_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
69,100,Kahoot,0x76f2e86bff12fbb3e5c778a7f00e5d13f2894444,2026-03-25 12:44:46,0-50k,0.5031860427552348,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
60,100,肉包,0x007be65c48bc24b8fdb85fddfc65e3884bba4444,2026-01-28 04:29:30,0-50k,0.3635651230613327,ai_agent+chinese_social_meme,category/meme/community,待追踪,16,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
21,90,YI,0xb64157874c2648101733e335e9d1af85073f4444,2026-05-27 10:03:57,0-50k,2.893855612961933,unknown,unknown,待追踪,0,17,16,-17,用 token 名称、部署时间和早期传播账号做源头检索
21,90,hey stock,0xa3b2e6fe983ac7193f2e098ad6f7c195a3824444,2026-05-30 10:12:40,0-50k,2.637784295181066,unknown,unknown,待追踪,0,17,16,-17,用 token 名称、部署时间和早期传播账号做源头检索
13,90,FREEDOM,0x72f033e62a316c2f545956311d0ec6c8f00d4444,2026-03-27 03:20:29,0-50k,1.6523346047525005,unknown,unknown,待追踪,0,14,11,-17,用 token 名称、部署时间和早期传播账号做源头检索
40,90,狐狸,0x52b73fd8cc9b2743a10e9f5e278c46cbe3484444,2026-03-11 08:53:53,0-50k,1.6026782603887468,unmapped_chinese_meme,meme/community,待追踪,8,14,11,-5,补 Douyin/B站/微博首发、热榜和音频复用量
21,90,WSJ,0x1845a4e394f8ff588838afc019e4dbe9ccdc4444,2026-03-11 12:01:02,0-50k,1.353786155900583,unknown,unknown,待追踪,0,17,16,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,90,光源,0xc012b418b4c65f0f9573e33ab0c4656396784444,2026-05-28 05:25:12,0-50k,1.2341217747364808,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
48,90,banify,0xab8d02b2adc0517721031374de15336be0ba4444,2026-03-24 05:45:39,0-50k,1.1899721047967986,unmapped_chinese_meme,meme/community,待追踪,8,17,16,-5,补 Douyin/B站/微博首发、热榜和音频复用量
30,85,我的刀盾,0x640c04ca09c5c5140e62fef42c59e3afdbbd4444,2026-02-05 04:33:48,50k-100k,5.9803690568636485,unmapped_chinese_meme,meme/community,待追踪,8,8,7,-5,补 Douyin/B站/微博首发、热榜和音频复用量
34,85,背手负鼠,0x5f6fd60ad6cd8751b4c521bc00fa02abfeca4444,2026-05-19 11:55:42,50k-100k,4.0273051411912375,unmapped_chinese_meme,meme/community,待追踪,8,8,11,-5,补 Douyin/B站/微博首发、热榜和音频复用量
13,85,龙虾,0xeccbb861c0dda7efd964010085488b69317e4444,2026-02-27 09:21:46,200k-1m,1.8958863039748053,unmapped_chinese_meme,meme/community,待追踪,8,3,3,-13,补 Douyin/B站/微博首发、热榜和音频复用量
33,85,世界和平,0x4444def5cf226bf50aa4b45e5748b676945bc509,2026-02-23 05:42:05,50k-100k,1.7658937989692989,unmapped_chinese_meme,meme/community,待追踪,8,11,7,-5,补 Douyin/B站/微博首发、热榜和音频复用量
25,85,金钱自由,0x4a50eeef18a350484d8ce7474f43571ccd934444,2026-02-28 03:35:45,100k-200k,1.653633558289139,unmapped_chinese_meme,meme/community,待追踪,8,11,7,-13,补 Douyin/B站/微博首发、热榜和音频复用量
25,85,六大门派围攻光明顶,0x7a40c80ed70e2d801b9423ac5bb599e63a044444,2026-02-09 08:48:36,100k-200k,1.4528254363308408,unmapped_chinese_meme,meme/community,待追踪,8,11,7,-13,补 Douyin/B站/微博首发、热榜和音频复用量
52,85,ClawBot,0x412530e49ee1b1f64124064b2e732e92c1314444,2026-03-22 01:25:31,0-50k,0.9536261234986062,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,85,Aoi,0x2aa1ea33f9741d83703f3b615be7455fdbd34444,2026-03-18 07:35:13,0-50k,0.9438393720733508,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
17,85,Benji,0x15d29c42981e2319e01079c81b56603c5f334444,2026-02-11 09:18:58,0-50k,0.9356534605915376,unknown,unknown,待追踪,0,14,15,-17,用 token 名称、部署时间和早期传播账号做源头检索
25,85,MCAA,0x4444eb49de7b33cca1906a4e38a37407eb152067,2026-04-23 02:24:13,0-50k,0.8996783922535703,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,85,青蛙,0xb707fbba262be7282175e10b3b2ba261a90a4444,2026-03-14 03:07:29,0-50k,0.8848349597999687,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,85,中͏国梦,0x1cbe4ae34cbd27b0c25d01d73f436ebb95e54444,2026-05-14 10:50:35,0-50k,0.8700281449742239,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
17,85,Eid Mubarak,0x52e3e4fab867abfd0efb5b93514ae43c82f520d5,2026-03-13 04:41:37,0-50k,0.8332672547173561,unknown,unknown,待追踪,0,14,15,-17,用 token 名称、部署时间和早期传播账号做源头检索
47,85,赵氏孤儿,0xbcffccb4e1d2715118558a76faa94b93bbd84444,2026-02-18 12:09:33,0-50k,0.8120667394347383,unmapped_chinese_meme,meme/community,待追踪,8,17,15,-5,补 Douyin/B站/微博首发、热榜和音频复用量
47,85,MFGA,0xf8d5392e48369044b54e2483dcfed6e673fc4444,2026-04-19 14:56:12,0-50k,0.8004897612116597,unmapped_chinese_meme,meme/community,待追踪,8,17,15,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,85,蚍蜉,0x31f650380d01873dbd82d8de3ad7502a57ac4444,2026-02-11 10:01:37,0-50k,0.7991270673481466,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
25,85,CMO,0x2c94ed98ad5dd7b53daa05f812e8b4198cc64444,2026-03-08 14:01:24,0-50k,0.7934850268219457,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,85,拉哪,0x44444d628a21d5c86d1da876c1e7813c096aa479,2026-04-16 10:02:35,0-50k,0.7641994441171707,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
37,85,shitstock,0xba52b58135ca198ff329f7a943dcbb4193b54444,2026-05-31 03:23:43,0-50k,0.761978575631718,pure_meme,meme,待追踪,0,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,85,红包外卖踏马来了,0x09bed2eb4e516fde1cb424f518355e78c1f44444,2026-02-14 08:44:25,0-50k,0.7343279048606262,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
49,85,ASTROID,0xac55484fb0aa9354c276b0285fc75d0b42ba4444,2026-04-17 07:00:54,0-50k,0.7225081487616317,ai_agent,category,待追踪,8,14,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
49,85,GMGN,0x0e3c424b0842707da55f2046a657827d3d894444,2026-03-29 04:18:57,0-50k,0.7193839070732481,unmapped_chinese_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
69,85,生化危机：币安绝境,0xbf1862b41f83a132af67813361b8cec895d34444,2026-04-01 12:01:10,0-50k,0.7043323087262302,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
32,85,狗娃,0x832127ecd7b4949e508ed6d31e95576c0e4e4444,2026-03-16 03:23:06,0-50k,0.7042320482821123,pure_meme,meme,待追踪,0,17,15,-5,补 Douyin/B站/微博首发、热榜和音频复用量
66,85,Stocks,0xdbdab51c866d570bdd491388ec6c1c7895bc4444,2026-05-31 06:23:19,0-50k,0.7006947749760155,binance,company/project,待追踪,25,14,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,85,BinanceAI,0xcb20965ac329b0107d8f723f778bf0ca2c144444,2026-03-16 05:26:08,0-50k,0.6966547075972659,binance+ai_agent,company/project/category,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
25,85,YURI,0x6721898d98a3ac5bfe657bcb48525549943c4444,2026-02-15 07:10:18,0-50k,0.6860676831711957,unknown,unknown,待追踪,0,17,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
49,85,τ,0x44acfd9fbb4ca0a6a5c3089e17fdf475556c4444,2026-05-25 01:27:18,0-50k,0.6848904768098912,unmapped_chinese_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
69,85,zBNB,0x56c17ff3e8c216a6bb6d42d1e0aa8565d0524444,2026-02-23 04:10:29,0-50k,0.6819189099928975,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
22,85,BONKRot,0x44443664201f5de5be8c245bc5a4e0bd1c15b64d,2026-03-14 01:44:10,0-50k,0.6797211974261723,unknown,unknown,待追踪,0,14,20,-17,用 token 名称、部署时间和早期传播账号做源头检索
52,85,Moltcn,0x7da00f26fc6199fc2dabc32b12cfa44a80c14444,2026-03-10 03:23:49,0-50k,0.6775942698679122,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
47,85,G.O.A.T.,0x5a9387146a396bad736a482cb996998eb1204444,2026-03-03 03:21:47,0-50k,0.6684003852127745,unmapped_chinese_meme,meme/community,待追踪,8,17,15,-5,补 Douyin/B站/微博首发、热榜和音频复用量
52,85,1,0x30d1b2919cf2178d1a5d8c370a104e31e8ca4444,2026-03-22 14:48:35,0-50k,0.6507067595329133,unmapped_chinese_meme,meme/community,待追踪,8,17,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
